"Precio compra" "Precio mantenimiento" "Número puertas" "Número personas" "Tamaño maletero" "Seguridad" "Aceptación del coche"
"Muy alto" "Muy alto" 2 2 "Pequeño" "Bajo" "Inaceptable"
"Muy alto" "Muy alto" 2 2 "Pequeño" "Medio" "Inaceptable"
"Muy alto" "Muy alto" 2 2 "Pequeño" "Alto" "Inaceptable"
"Muy alto" "Muy alto" 2 2 "Medio" "Bajo" "Inaceptable"
"Muy alto" "Muy alto" 2 2 "Medio" "Medio" "Inaceptable"
"Muy alto" "Muy alto" 2 2 "Medio" "Alto" "Inaceptable"
"Muy alto" "Muy alto" 2 2 "Grande" "Bajo" "Inaceptable"
"Muy alto" "Muy alto" 2 2 "Grande" "Medio" "Inaceptable"
"Muy alto" "Muy alto" 2 2 "Grande" "Alto" "Inaceptable"
"Muy alto" "Muy alto" 2 4 "Pequeño" "Bajo" "Inaceptable"
"Muy alto" "Muy alto" 2 4 "Pequeño" "Medio" "Inaceptable"
"Muy alto" "Muy alto" 2 4 "Pequeño" "Alto" "Inaceptable"
"Muy alto" "Muy alto" 2 4 "Medio" "Bajo" "Inaceptable"
"Muy alto" "Muy alto" 2 4 "Medio" "Medio" "Inaceptable"
"Muy alto" "Muy alto" 2 4 "Medio" "Alto" "Inaceptable"
"Muy alto" "Muy alto" 2 4 "Grande" "Bajo" "Inaceptable"
"Muy alto" "Muy alto" 2 4 "Grande" "Medio" "Inaceptable"
"Muy alto" "Muy alto" 2 4 "Grande" "Alto" "Inaceptable"
"Muy alto" "Muy alto" 2 "Más de 4" "Pequeño" "Bajo" "Inaceptable"
"Muy alto" "Muy alto" 2 "Más de 4" "Pequeño" "Medio" "Inaceptable"
"Muy alto" "Muy alto" 2 "Más de 4" "Pequeño" "Alto" "Inaceptable"
"Muy alto" "Muy alto" 2 "Más de 4" "Medio" "Bajo" "Inaceptable"
"Muy alto" "Muy alto" 2 "Más de 4" "Medio" "Medio" "Inaceptable"
"Muy alto" "Muy alto" 2 "Más de 4" "Medio" "Alto" "Inaceptable"
"Muy alto" "Muy alto" 2 "Más de 4" "Grande" "Bajo" "Inaceptable"
